Date,Open,High,Low,Close,Adj Close,Volume,ticker
2021-11-01,148.99000549316406,149.6999969482422,147.8000030517578,148.9600067138672,148.742919921875,74588300,AAPL
2021-11-02,148.66000366210938,151.57000732421875,148.64999389648438,150.02000427246094,149.80137634277344,69122000,AAPL
2021-11-03,150.38999938964844,151.97000122070312,149.82000732421875,151.49000549316406,151.2692413330078,54511500,AAPL
2021-11-04,151.5800018310547,152.42999267578125,150.63999938964844,150.9600067138672,150.74000549316406,60394600,AAPL
2021-11-05,151.88999938964844,152.1999969482422,150.05999755859375,151.27999877929688,151.27999877929688,65414600,AAPL
2021-11-01,331.3599853515625,331.489990234375,326.3699951171875,329.3699951171875,329.3699951171875,27073200,MSFT
2021-11-02,330.30999755859375,333.45001220703125,330.0,333.1300048828125,333.1300048828125,26487100,MSFT
2021-11-03,333.8999938964844,334.8999938964844,330.6499938964844,334.0,334.0,21500100,MSFT
2021-11-04,332.8900146484375,336.5400085449219,329.510009765625,336.44000244140625,336.44000244140625,23992200,MSFT
2021-11-05,338.510009765625,338.7900085449219,334.4200134277344,336.05999755859375,336.05999755859375,22564000,MSFT
2021-11-01,3361.800048828125,3375.860107421875,3292.02001953125,3318.110107421875,3318.110107421875,3608900,AMZN
2021-11-02,3315.010009765625,3331.1201171875,3283.550048828125,3312.75,3312.75,2627600,AMZN
2021-11-03,3309.0,3394.919921875,3297.52001953125,3384.0,3384.0,3397200,AMZN
2021-11-04,3370.0,3498.6298828125,3365.0,3477.0,3477.0,5353000,AMZN
2021-11-05,3477.0,3566.25,3476.97998046875,3518.989990234375,3518.989990234375,4993500,AMZN
